Employee #,Month,Date,Time-in,Time-out,Number of Hours Attended,Hourly Rate
10024,September,09/07/2022,8:00,17:00,9.00,133.93
10025,September,09/07/2022,8:00,17:00,9.00,133.93
10001,September,09/08/2022,8:00,17:00,9.00,373.04
10002,September,09/08/2022,8:00,17:00,9.00,255.8
10003,September,09/08/2022,8:00,17:00,9.00,255.8
10004,September,09/08/2022,8:00,17:00,9.00,362.05
10005,September,09/08/2022,8:00,17:00,9.00,133.93
10006,September,09/08/2022,8:00,17:00,9.00,133.93
10007,September,09/08/2022,8:00,17:00,9.00,142.86
10008,September,09/08/2022,8:00,17:00,9.00,142.86
10009,September,09/08/2022,0:00,0:00,0.00,133.93
10010,September,09/08/2022,8:00,17:00,9.00,133.93
10011,September,09/08/2022,8:00,17:00,9.00,229.02
10012,September,09/08/2022,8:00,17:00,9.00,249.11
10013,September,09/08/2022,10:00,17:00,7.00,377.98
10014,September,09/08/2022,10:00,17:00,7.00,138.39
10015,September,09/08/2022,10:00,17:00,7.00,138.39
10016,September,09/08/2022,10:00,17:00,7.00,142.86
10017,September,09/08/2022,10:00,17:00,7.00,133.93
10018,September,09/08/2022,10:00,17:00,7.00,133.93
10019,September,09/08/2022,10:00,17:00,7.00,142.86
10020,September,09/08/2022,10:00,17:00,7.00,147.32
10021,September,09/08/2022,10:00,17:00,7.00,147.32
10022,September,09/08/2022,10:00,17:00,7.00,142.86
10023,September,09/08/2022,10:00,17:00,7.00,133.93
10024,September,09/08/2022,10:00,17:00,7.00,133.93
10025,September,09/08/2022,10:00,17:00,7.00,133.93
10001,September,09/09/2022,8:00,17:00,9.00,373.04
10002,September,09/09/2022,8:00,17:00,9.00,255.8
10003,September,09/09/2022,8:00,17:00,9.00,255.8
10004,September,09/09/2022,8:00,17:00,9.00,362.05
10005,September,09/09/2022,8:00,17:00,9.00,133.93
10006,September,09/09/2022,8:00,17:00,9.00,133.93
10007,September,09/09/2022,8:00,17:00,9.00,142.86
10008,September,09/09/2022,8:00,17:00,9.00,142.86
10009,September,09/09/2022,0:00,0:00,0.00,133.93
10010,September,09/09/2022,8:00,17:00,9.00,133.93
10011,September,09/09/2022,8:00,17:00,9.00,229.02
10012,September,09/09/2022,8:00,17:00,9.00,249.11
10013,September,09/09/2022,8:00,17:00,9.00,377.98
10014,September,09/09/2022,8:00,17:00,9.00,138.39
10015,September,09/09/2022,8:00,17:00,9.00,138.39
10016,September,09/09/2022,8:00,17:00,9.00,142.86
10017,September,09/09/2022,8:00,17:00,9.00,133.93
10018,September,09/09/2022,8:00,17:00,9.00,133.93
10019,September,09/09/2022,8:00,17:00,9.00,142.86
10020,September,09/09/2022,8:00,17:00,9.00,147.32
10021,September,09/09/2022,8:00,17:00,9.00,147.32
10022,September,09/09/2022,8:00,17:00,9.00,142.86
10023,September,09/09/2022,8:00,17:00,9.00,133.93
10024,September,09/09/2022,8:00,17:00,9.00,133.93
10025,September,09/09/2022,8:00,17:00,9.00,133.93
10001,September,09/12/2022,8:00,17:00,9.00,373.04
10002,September,09/12/2022,8:00,17:00,9.00,255.8
10003,September,09/12/2022,8:00,17:00,9.00,255.8
10004,September,09/12/2022,8:00,17:00,9.00,362.05
10005,September,09/12/2022,8:00,17:00,9.00,133.93
10006,September,09/12/2022,8:00,17:00,9.00,133.93
10007,September,09/12/2022,8:27,17:00,8.55,142.86
10008,September,09/12/2022,8:01,17:00,8.98,142.86
10009,September,09/12/2022,0:00,0:00,0.00,133.93
10010,September,09/12/2022,8:00,17:00,9.00,133.93
10011,September,09/12/2022,8:00,17:00,9.00,229.02
10012,September,09/12/2022,8:00,17:00,9.00,249.11
10013,September,09/12/2022,8:00,17:00,9.00,377.98
10014,September,09/12/2022,8:00,17:00,9.00,138.39
10015,September,09/12/2022,8:00,17:00,9.00,138.39
10016,September,09/12/2022,8:28,17:00,8.53,142.86
10017,September,09/12/2022,8:00,17:00,9.00,133.93
10018,September,09/12/2022,8:00,17:00,9.00,133.93
10019,September,09/12/2022,8:00,17:00,9.00,142.86
10020,September,09/12/2022,8:00,17:00,9.00,147.32
10021,September,09/12/2022,8:11,17:00,8.82,147.32
10022,September,09/12/2022,8:00,17:00,9.00,142.86
10023,September,09/12/2022,8:00,17:00,9.00,133.93
10024,September,09/12/2022,8:21,17:00,8.65,133.93
10025,September,09/12/2022,8:00,17:00,9.00,133.93
10001,September,09/13/2022,8:00,17:00,9.00,373.04
10002,September,09/13/2022,8:00,17:00,9.00,255.8
10003,September,09/13/2022,8:00,17:00,9.00,255.8
10004,September,09/13/2022,8:00,17:00,9.00,362.05
10005,September,09/13/2022,8:00,17:00,9.00,133.93
10006,September,09/13/2022,8:00,17:00,9.00,133.93
10007,September,09/13/2022,8:00,17:00,9.00,142.86
10008,September,09/13/2022,8:00,17:00,9.00,142.86
10009,September,09/13/2022,8:00,17:00,9.00,133.93
10010,September,09/13/2022,8:00,17:00,9.00,133.93
10011,September,09/13/2022,8:00,17:00,9.00,229.02
10012,September,09/13/2022,8:00,17:00,9.00,249.11
10013,September,09/13/2022,8:00,17:00,9.00,377.98
10014,September,09/13/2022,8:00,17:00,9.00,138.39
10015,September,09/13/2022,8:00,17:00,9.00,138.39
10016,September,09/13/2022,8:00,17:00,9.00,142.86
10017,September,09/13/2022,0:00,0:00,0.00,133.93
10018,September,09/13/2022,8:00,17:00,9.00,133.93
10019,September,09/13/2022,8:00,17:00,9.00,142.86
10020,September,09/13/2022,8:00,17:00,9.00,147.32
10021,September,09/13/2022,8:00,17:00,9.00,147.32
10022,September,09/13/2022,8:00,17:00,9.00,142.86
10023,September,09/13/2022,8:00,17:00,9.00,133.93
10024,September,09/13/2022,8:00,17:00,9.00,133.93
10025,September,09/13/2022,8:00,17:00,9.00,133.93
10001,September,09/14/2022,8:00,17:00,9.00,373.04
10002,September,09/14/2022,8:00,17:00,9.00,255.8
10003,September,09/14/2022,8:00,17:00,9.00,255.8
10004,September,09/14/2022,8:00,17:00,9.00,362.05
10005,September,09/14/2022,8:15,17:00,8.75,133.93
10006,September,09/14/2022,8:00,17:00,9.00,133.93
10007,September,09/14/2022,8:00,17:00,9.00,142.86
10008,September,09/14/2022,8:00,17:00,9.00,142.86
10009,September,09/14/2022,8:00,17:00,9.00,133.93
10010,September,09/14/2022,8:00,17:00,9.00,133.93
10011,September,09/14/2022,10:30,17:00,6.50,229.02
10012,September,09/14/2022,8:00,17:00,9.00,249.11
10013,September,09/14/2022,8:00,17:00,9.00,377.98
10014,September,09/14/2022,8:00,17:00,9.00,138.39
10015,September,09/14/2022,8:00,17:00,9.00,138.39
10016,September,09/14/2022,8:00,17:00,9.00,142.86
10017,September,09/14/2022,8:00,17:00,9.00,133.93
10018,September,09/14/2022,8:00,17:00,9.00,133.93
10019,September,09/14/2022,8:00,17:00,9.00,142.86
10020,September,09/14/2022,8:00,17:00,9.00,147.32
10021,September,09/14/2022,13:00,17:00,4.00,147.32
10022,September,09/14/2022,8:00,17:00,9.00,142.86
10023,September,09/14/2022,8:00,17:00,9.00,133.93
10024,September,09/14/2022,8:00,17:00,9.00,133.93
10025,September,09/14/2022,8:00,17:00,9.00,133.93
10001,September,09/15/2022,8:00,17:00,9.00,373.04
10002,September,09/15/2022,8:00,17:00,9.00,255.8
10003,September,09/15/2022,11:30,17:00,5.50,255.8
10004,September,09/15/2022,8:00,17:00,9.00,362.05
10005,September,09/15/2022,8:00,17:00,9.00,133.93
10006,September,09/15/2022,8:00,17:00,9.00,133.93
10007,September,09/15/2022,8:00,17:00,9.00,142.86
10008,September,09/15/2022,8:10,17:00,8.83,142.86
10009,September,09/15/2022,8:00,17:00,9.00,133.93
10010,September,09/15/2022,8:00,17:00,9.00,133.93
10011,September,09/15/2022,8:00,17:00,9.00,229.02
10012,September,09/15/2022,8:00,17:00,9.00,249.11
10013,September,09/15/2022,8:00,17:00,9.00,377.98
10014,September,09/15/2022,8:00,17:00,9.00,138.39
10015,September,09/15/2022,8:00,17:00,9.00,138.39
10016,September,09/15/2022,8:00,17:00,9.00,142.86
10017,September,09/15/2022,8:05,17:00,8.92,133.93
10018,September,09/15/2022,8:00,17:00,9.00,133.93
10019,September,09/15/2022,8:00,17:00,9.00,142.86
10020,September,09/15/2022,8:00,17:00,9.00,147.32
10021,September,09/15/2022,8:00,17:00,9.00,147.32
10022,September,09/15/2022,8:00,17:00,9.00,142.86
10023,September,09/15/2022,9:00,17:00,8.00,133.93
10024,September,09/15/2022,0:00,0:00,0.00,133.93
10025,September,09/15/2022,8:00,17:00,9.00,133.93
10001,September,09/16/2022,8:00,17:00,9.00,373.04
10002,September,09/16/2022,8:00,17:00,9.00,255.8
10003,September,09/16/2022,8:00,17:00,9.00,255.8
10004,September,09/16/2022,8:00,17:00,9.00,362.05
10005,September,09/16/2022,8:00,17:00,9.00,133.93
10006,September,09/16/2022,8:00,17:00,9.00,133.93
10007,September,09/16/2022,8:00,17:00,9.00,142.86
10008,September,09/16/2022,8:00,17:00,9.00,142.86
10009,September,09/16/2022,8:00,17:00,9.00,133.93
10010,September,09/16/2022,8:00,17:00,9.00,133.93
10011,September,09/16/2022,8:00,17:00,9.00,229.02
10012,September,09/16/2022,8:00,17:00,9.00,249.11
10013,September,09/16/2022,8:00,17:00,9.00,377.98
10014,September,09/16/2022,8:00,17:00,9.00,138.39
10015,September,09/16/2022,8:00,17:00,9.00,138.39
10016,September,09/16/2022,8:00,17:00,9.00,142.86
10017,September,09/16/2022,8:00,17:00,9.00,133.93
10018,September,09/16/2022,8:00,17:00,9.00,133.93
10019,September,09/16/2022,8:00,17:00,9.00,142.86
10020,September,09/16/2022,8:00,17:00,9.00,147.32
10021,September,09/16/2022,8:00,17:00,9.00,147.32
10022,September,09/16/2022,8:00,17:00,9.00,142.86
10023,September,09/16/2022,8:00,17:00,9.00,133.93
10024,September,09/16/2022,8:00,17:00,9.00,133.93
10025,September,09/16/2022,8:00,17:00,9.00,133.93
10001,September,09/19/2022,8:00,17:00,9.00,373.04
10002,September,09/19/2022,8:00,17:00,9.00,255.8
10003,September,09/19/2022,8:00,17:00,9.00,255.8
10004,September,09/19/2022,8:00,17:00,9.00,362.05
10005,September,09/19/2022,8:00,17:00,9.00,133.93
10006,September,09/19/2022,8:00,17:00,9.00,133.93
10007,September,09/19/2022,8:00,17:00,9.00,142.86
10008,September,09/19/2022,8:00,17:00,9.00,142.86
10009,September,09/19/2022,8:00,17:00,9.00,133.93
10010,September,09/19/2022,8:00,17:00,9.00,133.93
10011,September,09/19/2022,8:00,17:00,9.00,229.02
10012,September,09/19/2022,8:00,17:00,9.00,249.11
10013,September,09/19/2022,10:00,17:00,7.00,377.98
10014,September,09/19/2022,10:00,17:00,7.00,138.39
10015,September,09/19/2022,10:00,17:00,7.00,138.39
10016,September,09/19/2022,10:00,17:00,7.00,142.86
10017,September,09/19/2022,0:00,0:00,0.00,133.93
10018,September,09/19/2022,10:00,17:00,7.00,133.93
10019,September,09/19/2022,10:00,17:00,7.00,142.86
10020,September,09/19/2022,10:00,17:00,7.00,147.32
10021,September,09/19/2022,10:00,17:00,7.00,147.32
10022,September,09/19/2022,10:00,17:00,7.00,142.86
10023,September,09/19/2022,10:00,17:00,7.00,133.93
10024,September,09/19/2022,10:00,17:00,7.00,133.93
10025,September,09/19/2022,10:00,17:00,7.00,133.93
10001,September,09/20/2022,8:00,17:00,9.00,373.04
10002,September,09/20/2022,8:00,17:00,9.00,255.8
10003,September,09/20/2022,8:00,17:00,9.00,255.8
10004,September,09/20/2022,8:00,17:00,9.00,362.05
10005,September,09/20/2022,8:00,17:00,9.00,133.93
10006,September,09/20/2022,8:00,17:00,9.00,133.93
10007,September,09/20/2022,8:00,17:00,9.00,142.86
10008,September,09/20/2022,8:00,17:00,9.00,142.86
10009,September,09/20/2022,8:00,17:00,9.00,133.93
10010,September,09/20/2022,8:00,17:00,9.00,133.93
10011,September,09/20/2022,8:00,17:00,9.00,229.02
10012,September,09/20/2022,8:00,17:00,9.00,249.11
10013,September,09/20/2022,8:00,17:00,9.00,377.98
10014,September,09/20/2022,8:00,17:00,9.00,138.39
10015,September,09/20/2022,8:00,17:00,9.00,138.39
10016,September,09/20/2022,8:00,17:00,9.00,142.86
10017,September,09/20/2022,8:00,17:00,9.00,133.93
10018,September,09/20/2022,0:00,0:00,0.00,133.93
10019,September,09/20/2022,8:00,17:00,9.00,142.86
10020,September,09/20/2022,8:00,17:00,9.00,147.32
10021,September,09/20/2022,8:00,17:00,9.00,147.32
10022,September,09/20/2022,8:00,17:00,9.00,142.86
10023,September,09/20/2022,8:00,17:00,9.00,133.93
10024,September,09/20/2022,8:00,17:00,9.00,133.93
10025,September,09/20/2022,8:00,17:00,9.00,133.93
10001,September,09/21/2022,8:00,17:00,9.00,373.04
10002,September,09/21/2022,8:00,17:00,9.00,255.8
10003,September,09/21/2022,8:00,17:00,9.00,255.8
10004,September,09/21/2022,8:00,17:00,9.00,362.05
10005,September,09/21/2022,8:00,17:00,9.00,133.93
10006,September,09/21/2022,8:00,17:00,9.00,133.93
10007,September,09/21/2022,8:27,17:00,8.55,142.86
10008,September,09/21/2022,8:01,17:00,8.98,142.86
10009,September,09/21/2022,8:05,17:00,8.92,133.93
10010,September,09/21/2022,8:00,17:00,9.00,133.93
10011,September,09/21/2022,8:00,17:00,9.00,229.02
10012,September,09/21/2022,8:00,17:00,9.00,249.11
10013,September,09/21/2022,8:00,17:00,9.00,377.98
10014,September,09/21/2022,8:00,17:00,9.00,138.39
10015,September,09/21/2022,8:00,17:00,9.00,138.39
10016,September,09/21/2022,8:28,17:00,8.53,142.86
10017,September,09/21/2022,8:00,17:00,9.00,133.93
10018,September,09/21/2022,0:00,0:00,0.00,133.93
10019,September,09/21/2022,8:00,17:00,9.00,142.86
10020,September,09/21/2022,8:00,17:00,9.00,147.32
10021,September,09/21/2022,8:11,17:00,8.82,147.32
10022,September,09/21/2022,8:00,17:00,9.00,142.86
10023,September,09/21/2022,8:00,17:00,9.00,133.93
10024,September,09/21/2022,8:21,17:00,8.65,133.93
10025,September,09/21/2022,8:00,17:00,9.00,133.93
10001,September,09/22/2022,8:00,17:00,9.00,373.04
10002,September,09/22/2022,8:00,17:00,9.00,255.8
10003,September,09/22/2022,8:00,17:00,9.00,255.8
10004,September,09/22/2022,8:00,17:00,9.00,362.05
10005,September,09/22/2022,8:00,17:00,9.00,133.93
10006,September,09/22/2022,8:00,17:00,9.00,133.93
10007,September,09/22/2022,8:00,17:00,9.00,142.86
10008,September,09/22/2022,8:00,17:00,9.00,142.86
10009,September,09/22/2022,8:00,17:00,9.00,133.93
10010,September,09/22/2022,8:00,17:00,9.00,133.93
10011,September,09/22/2022,8:00,17:00,9.00,229.02
10012,September,09/22/2022,8:00,17:00,9.00,249.11
10013,September,09/22/2022,8:00,17:00,9.00,377.98
10014,September,09/22/2022,8:00,17:00,9.00,138.39
10015,September,09/22/2022,8:00,17:00,9.00,138.39
10016,September,09/22/2022,8:00,17:00,9.00,142.86
10017,September,09/22/2022,8:00,17:00,9.00,133.93
10018,September,09/22/2022,8:00,17:00,9.00,133.93
10019,September,09/22/2022,8:00,17:00,9.00,142.86
10020,September,09/22/2022,8:00,17:00,9.00,147.32
10021,September,09/22/2022,8:00,17:00,9.00,147.32
10022,September,09/22/2022,8:00,17:00,9.00,142.86
10023,September,09/22/2022,8:00,17:00,9.00,133.93
10024,September,09/22/2022,8:00,17:00,9.00,133.93
10025,September,09/22/2022,8:00,17:00,9.00,133.93
10001,September,09/23/2022,8:00,17:00,9.00,373.04
10002,September,09/23/2022,8:00,17:00,9.00,255.8
10003,September,09/23/2022,8:00,17:00,9.00,255.8
10004,September,09/23/2022,8:00,17:00,9.00,362.05
10005,September,09/23/2022,8:15,17:00,8.75,133.93
10006,September,09/23/2022,8:00,17:00,9.00,133.93
10007,September,09/23/2022,8:00,17:00,9.00,142.86
10008,September,09/23/2022,8:00,17:00,9.00,142.86
10009,September,09/23/2022,8:00,17:00,9.00,133.93
10010,September,09/23/2022,8:00,17:00,9.00,133.93
10011,September,09/23/2022,10:30,17:00,6.50,229.02
10012,September,09/23/2022,8:00,17:00,9.00,249.11
10013,September,09/23/2022,8:00,17:00,9.00,377.98
10014,September,09/23/2022,8:00,17:00,9.00,138.39
10015,September,09/23/2022,8:00,17:00,9.00,138.39
10016,September,09/23/2022,8:00,17:00,9.00,142.86
10017,September,09/23/2022,8:00,17:00,9.00,133.93
10018,September,09/23/2022,8:00,17:00,9.00,133.93
10019,September,09/23/2022,8:00,17:00,9.00,142.86
10020,September,09/23/2022,8:00,17:00,9.00,147.32
10021,September,09/23/2022,13:00,17:00,4.00,147.32
10022,September,09/23/2022,8:00,17:00,9.00,142.86
10023,September,09/23/2022,8:00,17:00,9.00,133.93
10024,September,09/23/2022,8:00,17:00,9.00,133.93
10025,September,09/23/2022,8:00,17:00,9.00,133.93
10001,September,09/26/2022,8:00,17:00,9.00,373.04
10002,September,09/26/2022,8:00,17:00,9.00,255.8
10003,September,09/26/2022,11:30,17:00,5.50,255.8
10004,September,09/26/2022,8:00,17:00,9.00,362.05
10005,September,09/26/2022,8:00,17:00,9.00,133.93
10006,September,09/26/2022,8:00,17:00,9.00,133.93
10007,September,09/26/2022,8:00,17:00,9.00,142.86
10008,September,09/26/2022,8:10,17:00,8.83,142.86
10009,September,09/26/2022,8:00,17:00,9.00,133.93
10010,September,09/26/2022,8:00,17:00,9.00,133.93
10011,September,09/26/2022,8:00,17:00,9.00,229.02
10012,September,09/26/2022,8:00,17:00,9.00,249.11
10013,September,09/26/2022,8:00,17:00,9.00,377.98
10014,September,09/26/2022,8:00,17:00,9.00,138.39
10015,September,09/26/2022,8:00,17:00,9.00,138.39
10016,September,09/26/2022,8:00,17:00,9.00,142.86
10017,September,09/26/2022,8:05,17:00,8.92,133.93
10018,September,09/26/2022,8:00,17:00,9.00,133.93
10019,September,09/26/2022,8:00,17:00,9.00,142.86
10020,September,09/26/2022,8:00,17:00,9.00,147.32
10021,September,09/26/2022,8:00,17:00,9.00,147.32
10022,September,09/26/2022,8:00,17:00,9.00,142.86
10023,September,09/26/2022,9:00,17:00,8.00,133.93
10024,September,09/26/2022,8:00,17:00,9.00,133.93
10025,September,09/26/2022,8:00,17:00,9.00,133.93
10001,September,09/27/2022,8:00,17:00,9.00,373.04
10002,September,09/27/2022,8:00,17:00,9.00,255.8
10003,September,09/27/2022,8:00,17:00,9.00,255.8
10004,September,09/27/2022,8:00,17:00,9.00,362.05
10005,September,09/27/2022,8:00,17:00,9.00,133.93
10006,September,09/27/2022,8:00,17:00,9.00,133.93
10007,September,09/27/2022,8:00,17:00,9.00,142.86
10008,September,09/27/2022,8:00,17:00,9.00,142.86
10009,September,09/27/2022,8:00,17:00,9.00,133.93
10010,September,09/27/2022,8:00,17:00,9.00,133.93
10011,September,09/27/2022,8:00,17:00,9.00,229.02
10012,September,09/27/2022,8:00,17:00,9.00,249.11
10013,September,09/27/2022,8:00,17:00,9.00,377.98
10014,September,09/27/2022,8:00,17:00,9.00,138.39
10015,September,09/27/2022,8:00,17:00,9.00,138.39
10016,September,09/27/2022,8:00,17:00,9.00,142.86
10017,September,09/27/2022,0:00,0:00,0.00,133.93
10018,September,09/27/2022,8:00,17:00,9.00,133.93
10019,September,09/27/2022,8:00,17:00,9.00,142.86
10020,September,09/27/2022,8:00,17:00,9.00,147.32
10021,September,09/27/2022,8:00,17:00,9.00,147.32
10022,September,09/27/2022,8:00,17:00,9.00,142.86
10023,September,09/27/2022,8:00,17:00,9.00,133.93
10024,September,09/27/2022,8:00,17:00,9.00,133.93
10025,September,09/27/2022,8:00,17:00,9.00,133.93
10001,September,09/28/2022,8:00,17:00,9.00,373.04
10002,September,09/28/2022,8:00,17:00,9.00,255.8
10003,September,09/28/2022,8:00,17:00,9.00,255.8
10004,September,09/28/2022,8:00,17:00,9.00,362.05
10005,September,09/28/2022,8:00,17:00,9.00,133.93
10006,September,09/28/2022,8:00,17:00,9.00,133.93
10007,September,09/28/2022,8:00,17:00,9.00,142.86
10008,September,09/28/2022,8:00,17:00,9.00,142.86
10009,September,09/28/2022,8:00,17:00,9.00,133.93
10010,September,09/28/2022,8:00,17:00,9.00,133.93
10011,September,09/28/2022,8:00,17:00,9.00,229.02
10012,September,09/28/2022,8:00,17:00,9.00,249.11
10013,September,09/28/2022,10:00,17:00,7.00,377.98
10014,September,09/28/2022,10:00,17:00,7.00,138.39
10015,September,09/28/2022,10:00,17:00,7.00,138.39
10016,September,09/28/2022,10:00,17:00,7.00,142.86
10017,September,09/28/2022,10:00,17:00,7.00,133.93
10018,September,09/28/2022,10:00,17:00,7.00,133.93
10019,September,09/28/2022,10:00,17:00,7.00,142.86
10020,September,09/28/2022,10:00,17:00,7.00,147.32
10021,September,09/28/2022,10:00,17:00,7.00,147.32
10022,September,09/28/2022,10:00,17:00,7.00,142.86
